state_time,t_peak,t_rise,t_fall,est_stride_dur,actual_stride_dur
65050,51.3,25.299999999999997,10.300000000000004,-1,65051
66520,51.3,25.299999999999997,10.300000000000004,1470,1470
67520,51.3,25.299999999999997,10.300000000000004,1470,1000
68490,51.3,25.299999999999997,10.300000000000004,1000,970
69510,51.3,25.299999999999997,10.300000000000004,1020,1020
70500,51.3,25.299999999999997,10.300000000000004,1000,990
71480,51.3,25.299999999999997,10.300000000000004,990,980
72490,51.3,25.299999999999997,10.300000000000004,990,1010
73470,51.3,25.299999999999997,10.300000000000004,990,980
74470,51.3,25.299999999999997,10.300000000000004,990,1000
75440,51.3,25.299999999999997,10.300000000000004,980,970
76410,51.3,25.299999999999997,10.300000000000004,980,970
77400,51.3,25.299999999999997,10.300000000000004,980,990
78380,51.3,25.299999999999997,10.300000000000004,980,980
79380,51.3,25.299999999999997,10.300000000000004,980,1000
80360,51.3,25.299999999999997,10.300000000000004,980,980
81350,51.3,25.299999999999997,10.300000000000004,990,990
82330,51.3,25.299999999999997,10.300000000000004,980,980
83320,51.3,25.299999999999997,10.300000000000004,990,990
84320,51.3,25.299999999999997,10.300000000000004,990,1000
85320,51.3,25.299999999999997,10.300000000000004,990,1000
86300,51.3,25.299999999999997,10.300000000000004,990,980
87270,51.3,25.299999999999997,10.300000000000004,990,970
88250,51.3,25.299999999999997,10.300000000000004,980,980
89220,51.3,25.299999999999997,10.300000000000004,980,970
90220,51.3,25.299999999999997,10.300000000000004,980,1000
91190,51.3,25.299999999999997,10.300000000000004,970,970
92190,51.3,25.299999999999997,10.300000000000004,980,1000
93180,51.3,25.299999999999997,10.300000000000004,990,990
94150,51.3,25.299999999999997,10.300000000000004,990,970
95130,51.3,25.299999999999997,10.300000000000004,980,980
96120,51.3,25.299999999999997,10.300000000000004,990,990
97100,51.3,25.299999999999997,10.300000000000004,980,980
98080,51.3,25.299999999999997,10.300000000000004,980,980
99040,51.3,25.299999999999997,10.300000000000004,980,960
100010,51.3,25.299999999999997,10.300000000000004,980,970
101010,51.3,25.299999999999997,10.300000000000004,980,1000
102000,51.3,25.299999999999997,10.300000000000004,980,990
102980,51.3,25.299999999999997,10.300000000000004,980,980
103980,51.3,25.299999999999997,10.300000000000004,990,1000
104980,51.3,25.299999999999997,10.300000000000004,1000,1000
105960,51.3,25.299999999999997,10.300000000000004,990,980
106950,51.3,25.299999999999997,10.300000000000004,990,990
107930,51.3,25.299999999999997,10.300000000000004,990,980
