state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
51257,25.3,10.3,51.3,-1,51258
52697,25.3,10.3,51.3,1440,1440
53957,25.3,10.3,51.3,1440,1260
55097,25.3,10.3,51.3,1260,1140
56277,25.3,10.3,51.3,1260,1180
57447,25.3,10.3,51.3,1180,1170
58577,25.3,10.3,51.3,1170,1130
59677,25.3,10.3,51.3,1140,1100
60827,25.3,10.3,51.3,1150,1150
61997,25.3,10.3,51.3,1150,1170
63147,25.3,10.3,51.3,1150,1150
64217,25.3,10.3,51.3,1150,1070
65347,25.3,10.3,51.3,1150,1130
66467,25.3,10.3,51.3,1130,1120
67597,25.3,10.3,51.3,1130,1130
68707,25.3,10.3,51.3,1120,1110
69787,25.3,10.3,51.3,1120,1080
70877,25.3,10.3,51.3,1110,1090
71977,25.3,10.3,51.3,1100,1100
73097,25.3,10.3,51.3,1100,1120
74187,25.3,10.3,51.3,1090,1090
75307,25.3,10.3,51.3,1100,1120
76397,25.3,10.3,51.3,1100,1090
77497,25.3,10.3,51.3,1100,1100
78577,25.3,10.3,51.3,1090,1080
79687,25.3,10.3,51.3,1100,1110
80747,25.3,10.3,51.3,1090,1060
81877,25.3,10.3,51.3,1100,1130
82977,25.3,10.3,51.3,1100,1100
84067,25.3,10.3,51.3,1100,1090
85187,25.3,10.3,51.3,1100,1120
86297,25.3,10.3,51.3,1110,1110
87397,25.3,10.3,51.3,1100,1100
88517,25.3,10.3,51.3,1110,1120
89607,25.3,10.3,51.3,1110,1090
90697,25.3,10.3,51.3,1100,1090
91797,25.3,10.3,51.3,1100,1100
92897,25.3,10.3,51.3,1100,1100
