state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
41103,25.3,10.3,51.3,-1.0,41104
42273,25.3,10.3,51.3,1170.0,1170
43943,25.3,10.3,51.3,1420.0,1670
44813,25.3,10.3,51.3,1236.6666666666667,870
45803,25.3,10.3,51.3,1176.6666666666667,990
46983,25.3,10.3,51.3,1013.3333333333334,1180
48193,25.3,10.3,51.3,1126.6666666666667,1210
49393,25.3,10.3,51.3,1196.6666666666667,1200
50563,25.3,10.3,51.3,1193.3333333333333,1170
51813,25.3,10.3,51.3,1206.6666666666667,1250
53483,25.3,10.3,51.3,1363.3333333333333,1670
54343,25.3,10.3,51.3,1260.0,860
55413,25.3,10.3,51.3,1200.0,1070
56693,25.3,10.3,51.3,1070.0,1280
57873,25.3,10.3,51.3,1176.6666666666667,1180
59123,25.3,10.3,51.3,1236.6666666666667,1250
60343,25.3,10.3,51.3,1216.6666666666667,1220
62073,25.3,10.3,51.3,1400.0,1730
62933,25.3,10.3,51.3,1270.0,860
63863,25.3,10.3,51.3,1173.3333333333333,930
65153,25.3,10.3,51.3,1026.6666666666667,1290
66373,25.3,10.3,51.3,1146.6666666666667,1220
67573,25.3,10.3,51.3,1236.6666666666667,1200
68813,25.3,10.3,51.3,1220.0,1240
70013,25.3,10.3,51.3,1213.3333333333333,1200
71303,25.3,10.3,51.3,1243.3333333333333,1290
72493,25.3,10.3,51.3,1226.6666666666667,1190
73733,25.3,10.3,51.3,1240.0,1240
75463,25.3,10.3,51.3,1386.6666666666667,1730
76333,25.3,10.3,51.3,1280.0,870
77353,25.3,10.3,51.3,1206.6666666666667,1020
78593,25.3,10.3,51.3,1043.3333333333333,1240
79813,25.3,10.3,51.3,1160.0,1220
81053,25.3,10.3,51.3,1233.3333333333333,1240
82243,25.3,10.3,51.3,1216.6666666666667,1190
83473,25.3,10.3,51.3,1220.0,1230
