state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
39968,25.3,10.3,51.3,-1,39969
41508,25.3,10.3,51.3,1540,1540
42838,25.3,10.3,51.3,1540,1330
44128,25.3,10.3,51.3,1330,1290
45378,25.3,10.3,51.3,1330,1250
46668,25.3,10.3,51.3,1290,1290
47908,25.3,10.3,51.3,1290,1240
49278,25.3,10.3,51.3,1290,1370
50578,25.3,10.3,51.3,1290,1300
51948,25.3,10.3,51.3,1300,1370
53328,25.3,10.3,51.3,1370,1380
54578,25.3,10.3,51.3,1370,1250
55818,25.3,10.3,51.3,1300,1240
57088,25.3,10.3,51.3,1270,1270
58328,25.3,10.3,51.3,1250,1240
59608,25.3,10.3,51.3,1250,1280
60898,25.3,10.3,51.3,1270,1290
62098,25.3,10.3,51.3,1270,1200
63548,25.3,10.3,51.3,1280,1450
64768,25.3,10.3,51.3,1280,1220
66078,25.3,10.3,51.3,1290,1310
67388,25.3,10.3,51.3,1310,1310
68688,25.3,10.3,51.3,1310,1300
69968,25.3,10.3,51.3,1300,1280
71278,25.3,10.3,51.3,1310,1310
72628,25.3,10.3,51.3,1310,1350
73958,25.3,10.3,51.3,1310,1330
75288,25.3,10.3,51.3,1330,1330
76638,25.3,10.3,51.3,1330,1350
78028,25.3,10.3,51.3,1350,1390
79428,25.3,10.3,51.3,1350,1400
80788,25.3,10.3,51.3,1360,1360
