state_time,experiment_type,t_peak,t_rise,t_fall,peak_tn,est_stride_dur,actual_stride_dur
64205,sav,51.3,25.299999999999997,10.300000000000004,0.18,-1,64206
65565,sav,51.3,25.299999999999997,10.300000000000004,0.18,1360,1360
66925,sav,51.3,25.299999999999997,10.300000000000004,0.18,1360,1360
68125,sav,51.3,25.299999999999997,10.300000000000004,0.18,1360,1200
69305,sav,51.3,25.299999999999997,10.300000000000004,0.18,1360,1180
70495,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1190
71645,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1150
72805,sav,51.3,25.299999999999997,10.300000000000004,0.18,1180,1160
74005,sav,51.3,25.299999999999997,10.300000000000004,0.18,1180,1200
75155,sav,51.3,25.299999999999997,10.300000000000004,0.18,1160,1150
76365,sav,51.3,25.299999999999997,10.300000000000004,0.18,1160,1210
77565,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
78775,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1210
79975,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
81205,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1230
82375,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1170
83585,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1210
84765,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1180
85975,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1210
87175,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
88375,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
89515,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1140
90695,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1180
91885,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1190
93075,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1190
94255,sav,51.3,25.299999999999997,10.300000000000004,0.18,1180,1180
95465,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1210
96635,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1170
97835,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1200
99025,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1190
100215,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1190
101415,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1200
102615,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
103765,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1150
104965,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
106155,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1190
107355,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
108565,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1210
109765,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
110965,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
112175,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1210
113385,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1210
114585,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
115795,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1210
117045,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1250
118215,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1170
119445,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1230
120655,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1210
121855,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1200
123045,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1190
124225,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1180
125405,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1180
126605,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1200
127815,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1210
129005,sav,51.3,25.299999999999997,10.300000000000004,0.18,1190,1190
130205,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
131405,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1200
132615,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1210
133835,sav,51.3,25.299999999999997,10.300000000000004,0.18,1200,1220
135055,sav,51.3,25.299999999999997,10.300000000000004,0.18,1210,1220
