state_time,t_peak,t_rise,t_fall,est_stride_dur,actual_stride_dur
61400,51.3,25.299999999999997,10.300000000000004,-1,61401
62760,51.3,25.299999999999997,10.300000000000004,1360,1360
64020,51.3,25.299999999999997,10.300000000000004,1360,1260
65100,51.3,25.299999999999997,10.300000000000004,1260,1080
66270,51.3,25.299999999999997,10.300000000000004,1260,1170
67430,51.3,25.299999999999997,10.300000000000004,1170,1160
68620,51.3,25.299999999999997,10.300000000000004,1170,1190
69790,51.3,25.299999999999997,10.300000000000004,1170,1170
70980,51.3,25.299999999999997,10.300000000000004,1170,1190
72070,51.3,25.299999999999997,10.300000000000004,1170,1090
73210,51.3,25.299999999999997,10.300000000000004,1170,1140
74360,51.3,25.299999999999997,10.300000000000004,1150,1150
75500,51.3,25.299999999999997,10.300000000000004,1140,1140
76720,51.3,25.299999999999997,10.300000000000004,1140,1220
77800,51.3,25.299999999999997,10.300000000000004,1140,1080
78950,51.3,25.299999999999997,10.300000000000004,1150,1150
80090,51.3,25.299999999999997,10.300000000000004,1140,1140
81300,51.3,25.299999999999997,10.300000000000004,1150,1210
82360,51.3,25.299999999999997,10.300000000000004,1140,1060
83580,51.3,25.299999999999997,10.300000000000004,1150,1220
84660,51.3,25.299999999999997,10.300000000000004,1140,1080
85860,51.3,25.299999999999997,10.300000000000004,1200,1200
86910,51.3,25.299999999999997,10.300000000000004,1080,1050
88130,51.3,25.299999999999997,10.300000000000004,1200,1220
89170,51.3,25.299999999999997,10.300000000000004,1080,1040
90330,51.3,25.299999999999997,10.300000000000004,1160,1160
91440,51.3,25.299999999999997,10.300000000000004,1110,1110
92610,51.3,25.299999999999997,10.300000000000004,1160,1170
93660,51.3,25.299999999999997,10.300000000000004,1110,1050
94860,51.3,25.299999999999997,10.300000000000004,1160,1200
95910,51.3,25.299999999999997,10.300000000000004,1110,1050
97050,51.3,25.299999999999997,10.300000000000004,1140,1140
98190,51.3,25.299999999999997,10.300000000000004,1140,1140
99310,51.3,25.299999999999997,10.300000000000004,1140,1120
100430,51.3,25.299999999999997,10.300000000000004,1120,1120
101540,51.3,25.299999999999997,10.300000000000004,1120,1110
102730,51.3,25.299999999999997,10.300000000000004,1120,1190
103810,51.3,25.299999999999997,10.300000000000004,1120,1080
104970,51.3,25.299999999999997,10.300000000000004,1120,1160
106100,51.3,25.299999999999997,10.300000000000004,1130,1130
107230,51.3,25.299999999999997,10.300000000000004,1130,1130
108340,51.3,25.299999999999997,10.300000000000004,1130,1110
109440,51.3,25.299999999999997,10.300000000000004,1130,1100
110570,51.3,25.299999999999997,10.300000000000004,1130,1130
111690,51.3,25.299999999999997,10.300000000000004,1120,1120
112810,51.3,25.299999999999997,10.300000000000004,1120,1120
113940,51.3,25.299999999999997,10.300000000000004,1120,1130
115070,51.3,25.299999999999997,10.300000000000004,1130,1130
116170,51.3,25.299999999999997,10.300000000000004,1120,1100
117300,51.3,25.299999999999997,10.300000000000004,1130,1130
118420,51.3,25.299999999999997,10.300000000000004,1130,1120
119550,51.3,25.299999999999997,10.300000000000004,1130,1130
120700,51.3,25.299999999999997,10.300000000000004,1130,1150
121830,51.3,25.299999999999997,10.300000000000004,1130,1130
122950,51.3,25.299999999999997,10.300000000000004,1130,1120
124140,51.3,25.299999999999997,10.300000000000004,1130,1190
125190,51.3,25.299999999999997,10.300000000000004,1130,1050
126330,51.3,25.299999999999997,10.300000000000004,1130,1140
127420,51.3,25.299999999999997,10.300000000000004,1120,1090
128570,51.3,25.299999999999997,10.300000000000004,1140,1150
129680,51.3,25.299999999999997,10.300000000000004,1110,1110
130810,51.3,25.299999999999997,10.300000000000004,1130,1130
131900,51.3,25.299999999999997,10.300000000000004,1110,1090
133060,51.3,25.299999999999997,10.300000000000004,1130,1160
134090,51.3,25.299999999999997,10.300000000000004,1110,1030
135240,51.3,25.299999999999997,10.300000000000004,1130,1150
136350,51.3,25.299999999999997,10.300000000000004,1110,1110
137450,51.3,25.299999999999997,10.300000000000004,1110,1100
138490,51.3,25.299999999999997,10.300000000000004,1100,1040
139670,51.3,25.299999999999997,10.300000000000004,1110,1180
140730,51.3,25.299999999999997,10.300000000000004,1100,1060
141890,51.3,25.299999999999997,10.300000000000004,1100,1160
143020,51.3,25.299999999999997,10.300000000000004,1130,1130
144080,51.3,25.299999999999997,10.300000000000004,1130,1060
145280,51.3,25.299999999999997,10.300000000000004,1130,1200
146340,51.3,25.299999999999997,10.300000000000004,1130,1060
147530,51.3,25.299999999999997,10.300000000000004,1130,1190
148650,51.3,25.299999999999997,10.300000000000004,1120,1120
149690,51.3,25.299999999999997,10.300000000000004,1120,1040
150900,51.3,25.299999999999997,10.300000000000004,1120,1210
151920,51.3,25.299999999999997,10.300000000000004,1120,1020
153050,51.3,25.299999999999997,10.300000000000004,1120,1130
154150,51.3,25.299999999999997,10.300000000000004,1100,1100
155220,51.3,25.299999999999997,10.300000000000004,1100,1070
156300,51.3,25.299999999999997,10.300000000000004,1080,1080
157360,51.3,25.299999999999997,10.300000000000004,1080,1060
158440,51.3,25.299999999999997,10.300000000000004,1080,1080
159840,51.3,25.299999999999997,10.300000000000004,1080,1400
160520,51.3,25.299999999999997,10.300000000000004,1080,680
161640,51.3,25.299999999999997,10.300000000000004,1080,1120
162880,51.3,25.299999999999997,10.300000000000004,1120,1240
164030,51.3,25.299999999999997,10.300000000000004,1150,1150
165620,51.3,25.299999999999997,10.300000000000004,1150,1590
