state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
448080,51.3,0.225,max,A,1,970,970
449030,51.3,0.225,max,A,1,970,960
450000,51.3,0.225,max,A,2,970,970
450960,51.3,0.225,max,A,3,960,960
451930,51.3,0.225,max,A,4,970,970
452900,51.3,0.225,max,B,1,970,970
453880,51.3,0.225,max,B,2,970,980
454820,51.3,0.225,max,B,3,970,940
455790,51.3,0.225,max,B,4,970,970
456750,51.3,0.225,max,B,5,970,960
467420,51.3,0.225,max,A,1,960,970
468370,51.3,0.225,max,A,1,960,960
469320,51.3,0.225,max,A,2,960,950
470300,51.3,0.225,max,A,3,970,980
471260,51.3,0.225,max,A,4,960,960
472210,48.3,0.225,max,B,1,960,950
473190,48.3,0.225,max,B,2,960,980
474170,48.3,0.225,max,B,3,980,980
475140,48.3,0.225,max,B,4,970,970
476120,48.3,0.225,max,B,5,980,980
486770,49.3,0.225,max,A,1,970,970
487740,49.3,0.225,max,A,1,970,980
488700,49.3,0.225,max,A,2,970,960
489660,49.3,0.225,max,A,3,970,960
490630,49.3,0.225,max,A,4,970,970
491600,51.3,0.225,max,B,1,970,970
492580,51.3,0.225,max,B,2,970,980
493550,51.3,0.225,max,B,3,970,970
494520,51.3,0.225,max,B,4,970,970
495510,51.3,0.225,max,B,5,970,990
506260,51.3,0.225,max,A,1,980,980
507220,51.3,0.225,max,A,1,980,970
508200,51.3,0.225,max,A,2,980,980
509160,51.3,0.225,max,A,3,980,960
510140,51.3,0.225,max,A,4,980,980
511120,51.3,0.225,max,B,1,980,980
512070,51.3,0.225,max,B,2,980,950
513050,51.3,0.225,max,B,3,980,980
514020,51.3,0.225,max,B,4,980,970
514990,51.3,0.225,max,B,5,970,970
525710,51.3,0.225,max,A,1,970,980
526670,51.3,0.225,max,A,1,970,970
527660,51.3,0.225,max,A,2,970,990
528630,51.3,0.225,max,A,3,970,970
529600,51.3,0.225,max,A,4,970,970
530580,48.3,0.225,max,B,1,970,980
531560,48.3,0.225,max,B,2,980,980
532520,48.3,0.225,max,B,3,970,960
533500,48.3,0.225,max,B,4,980,980
534470,48.3,0.225,max,B,5,980,970
545130,49.3,0.225,max,A,1,970,970
546100,49.3,0.225,max,A,1,970,980
547080,49.3,0.225,max,A,2,970,980
548050,49.3,0.225,max,A,3,970,970
549030,49.3,0.225,max,A,4,980,980
550000,51.3,0.225,max,B,1,980,970
550960,51.3,0.225,max,B,2,970,960
551940,51.3,0.225,max,B,3,970,980
