side,side_sign,num_gait,state_time,t_rise,t_fall,t_peak,peak_torque_norm,est_stride_dur,actual_stride_dur
R,-1,46,111129,25.3,10.3,51.3,0.08,1170,1210
L,1,47,115211,25.3,10.3,51.3,0.08,1160,1170
R,-1,47,112299,25.3,10.3,51.3,0.08,1170,1170
L,1,48,116381,25.3,10.3,51.3,0.08,1170,1170
R,-1,48,113469,25.3,10.3,51.3,0.08,1170,1170
L,1,49,117541,25.3,10.3,51.3,0.08,1170,1160
R,-1,49,114569,25.3,10.3,51.3,0.08,1170,1100
R,-1,50,115729,25.3,10.3,51.3,0.08,1170,1160
L,1,50,119971,25.3,10.3,51.3,0.08,1170,2430
R,-1,51,116929,25.3,10.3,51.3,0.08,1170,1200
L,1,51,121071,25.3,10.3,51.3,0.08,1160,1100
R,-1,52,118159,25.3,10.3,51.3,0.08,1170,1230
L,1,52,122241,25.3,10.3,51.3,0.08,1170,1170
R,-1,53,119249,25.3,10.3,51.3,0.08,1160,1090
L,1,53,123421,25.3,10.3,51.3,0.08,1170,1180
R,-1,54,120539,25.3,10.3,51.3,0.08,1200,1290
L,1,54,124631,25.3,10.3,51.3,0.08,1170,1210
R,-1,55,121749,25.3,10.3,51.3,0.08,1210,1210
L,1,55,125831,25.3,10.3,51.3,0.08,1180,1200
