state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
56848,25.3,10.3,51.3,-1,56849
57878,25.3,10.3,51.3,1030,1030
58968,25.3,10.3,51.3,1090,1090
60018,25.3,10.3,51.3,1050,1050
61028,25.3,10.3,51.3,1050,1010
62048,25.3,10.3,51.3,1030,1020
63088,25.3,10.3,51.3,1040,1040
64078,25.3,10.3,51.3,1020,990
65088,25.3,10.3,51.3,1010,1010
66078,25.3,10.3,51.3,1010,990
67078,25.3,10.3,51.3,1000,1000
68078,25.3,10.3,51.3,1000,1000
69088,25.3,10.3,51.3,1000,1010
70048,25.3,10.3,51.3,1000,960
71018,25.3,10.3,51.3,1000,970
72018,25.3,10.3,51.3,1000,1000
72988,25.3,10.3,51.3,970,970
73998,25.3,10.3,51.3,970,1010
74988,25.3,10.3,51.3,990,990
75988,25.3,10.3,51.3,1000,1000
76978,25.3,10.3,51.3,990,990
77968,25.3,10.3,51.3,990,990
78998,25.3,10.3,51.3,990,1030
79998,25.3,10.3,51.3,1000,1000
80988,25.3,10.3,51.3,990,990
81998,25.3,10.3,51.3,1000,1010
82958,25.3,10.3,51.3,1000,960
83948,25.3,10.3,51.3,990,990
84938,25.3,10.3,51.3,990,990
85948,25.3,10.3,51.3,990,1010
86928,25.3,10.3,51.3,990,980
87908,25.3,10.3,51.3,990,980
88878,25.3,10.3,51.3,980,970
89898,25.3,10.3,51.3,980,1020
90848,25.3,10.3,51.3,980,950
91858,25.3,10.3,51.3,980,1010
92828,25.3,10.3,51.3,970,970
93788,25.3,10.3,51.3,970,960
94868,25.3,10.3,51.3,970,1080
95738,25.3,10.3,51.3,970,870
96768,25.3,10.3,51.3,970,1030
97768,25.3,10.3,51.3,1000,1000
98768,25.3,10.3,51.3,1000,1000
99758,25.3,10.3,51.3,1000,990
100738,25.3,10.3,51.3,1000,980
101748,25.3,10.3,51.3,1000,1010
102748,25.3,10.3,51.3,1000,1000
103718,25.3,10.3,51.3,990,970
104718,25.3,10.3,51.3,1000,1000
105718,25.3,10.3,51.3,1000,1000
106698,25.3,10.3,51.3,1000,980
107688,25.3,10.3,51.3,990,990
108678,25.3,10.3,51.3,990,990
109678,25.3,10.3,51.3,990,1000
110678,25.3,10.3,51.3,990,1000
111638,25.3,10.3,51.3,990,960
112628,25.3,10.3,51.3,990,990
113628,25.3,10.3,51.3,1000,1000
114628,25.3,10.3,51.3,1000,1000
115608,25.3,10.3,51.3,990,980
116628,25.3,10.3,51.3,1000,1020
117588,25.3,10.3,51.3,1000,960
118578,25.3,10.3,51.3,990,990
119568,25.3,10.3,51.3,990,990
120558,25.3,10.3,51.3,990,990
121568,25.3,10.3,51.3,990,1010
