state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
43132,25.3,10.3,51.3,-1,43133
44196,25.3,10.3,51.3,1064,1064
45324,25.3,10.3,51.3,1128,1128
46536,25.3,10.3,51.3,1128,1212
47628,25.3,10.3,51.3,1128,1092
48760,25.3,10.3,51.3,1132,1132
49912,25.3,10.3,51.3,1132,1152
51128,25.3,10.3,51.3,1152,1216
52288,25.3,10.3,51.3,1160,1160
53492,25.3,10.3,51.3,1204,1204
54580,25.3,10.3,51.3,1160,1088
55772,25.3,10.3,51.3,1192,1192
57016,25.3,10.3,51.3,1192,1244
58104,25.3,10.3,51.3,1192,1088
59276,25.3,10.3,51.3,1172,1172
60520,25.3,10.3,51.3,1172,1244
61568,25.3,10.3,51.3,1172,1048
62724,25.3,10.3,51.3,1156,1156
63956,25.3,10.3,51.3,1156,1232
65116,25.3,10.3,51.3,1160,1160
66280,25.3,10.3,51.3,1164,1164
67376,25.3,10.3,51.3,1160,1096
68548,25.3,10.3,51.3,1164,1172
69800,25.3,10.3,51.3,1172,1252
70932,25.3,10.3,51.3,1172,1132
72160,25.3,10.3,51.3,1228,1228
73424,25.3,10.3,51.3,1228,1264
74608,25.3,10.3,51.3,1228,1184
75776,25.3,10.3,51.3,1184,1168
76892,25.3,10.3,51.3,1168,1116
78112,25.3,10.3,51.3,1168,1220
79288,25.3,10.3,51.3,1176,1176
80400,25.3,10.3,51.3,1176,1112
81528,25.3,10.3,51.3,1128,1128
82704,25.3,10.3,51.3,1128,1176
83972,25.3,10.3,51.3,1176,1268
85064,25.3,10.3,51.3,1176,1092
86304,25.3,10.3,51.3,1240,1240
87484,25.3,10.3,51.3,1180,1180
88638,25.3,10.3,51.3,1180,1154
89832,25.3,10.3,51.3,1180,1194
90996,25.3,10.3,51.3,1164,1164
