state_time,experiment_type,t_peak,t_rise,t_fall,peak_tn,est_stride_dur,actual_stride_dur
240796,max,51.3,25.299999999999997,10.300000000000004,0.225,-1,240797
242316,max,51.3,25.299999999999997,10.300000000000004,0.225,1520,1520
243636,max,51.3,25.299999999999997,10.300000000000004,0.225,1520,1320
244916,max,51.3,25.299999999999997,10.300000000000004,0.225,1320,1280
246166,max,51.3,25.299999999999997,10.300000000000004,0.225,1320,1250
247436,max,51.3,25.299999999999997,10.300000000000004,0.225,1280,1270
248696,max,51.3,25.299999999999997,10.300000000000004,0.225,1270,1260
249916,max,51.3,25.299999999999997,10.300000000000004,0.225,1260,1220
251206,max,51.3,25.299999999999997,10.300000000000004,0.225,1260,1290
252466,max,51.3,25.299999999999997,10.300000000000004,0.225,1260,1260
253696,max,51.3,25.299999999999997,10.300000000000004,0.225,1260,1230
254906,max,51.3,25.299999999999997,10.300000000000004,0.225,1230,1210
256136,max,51.3,25.299999999999997,10.300000000000004,0.225,1230,1230
257406,max,51.3,25.299999999999997,10.300000000000004,0.225,1230,1270
258656,max,51.3,25.299999999999997,10.300000000000004,0.225,1230,1250
259876,max,51.3,25.299999999999997,10.300000000000004,0.225,1230,1220
261066,max,51.3,25.299999999999997,10.300000000000004,0.225,1230,1190
262266,max,51.3,25.299999999999997,10.300000000000004,0.225,1220,1200
263456,max,51.3,25.299999999999997,10.300000000000004,0.225,1200,1190
264606,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1150
265786,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1180
267006,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1220
268206,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1200
269386,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
270576,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1190
271756,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1180
272956,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1200
274146,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1190
275316,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1170
276496,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
277696,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1200
278896,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1200
280076,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
281256,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
282416,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1160
283606,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1190
284836,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1230
286016,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
287196,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
288376,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
289516,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1140
290686,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1170
291876,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1190
293086,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1210
294276,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1190
295436,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1160
296616,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1180
297816,max,51.3,25.299999999999997,10.300000000000004,0.225,1190,1200
298986,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1170
300146,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1160
301286,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1140
302496,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1210
303676,max,51.3,25.299999999999997,10.300000000000004,0.225,1170,1180
304856,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
306006,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1150
307186,max,51.3,25.299999999999997,10.300000000000004,0.225,1180,1180
