state_time,ank_ang,mot_ang,mot_cur
13935,6618,52644,797
13945,6611,52609,803
13955,6603,52579,789
13965,6597,52556,807
13975,6591,52521,796
13985,6585,52497,803
13995,6579,52462,794
14005,6573,52439,798
14015,6568,52412,800
14025,6561,52382,792
14035,6555,52350,802
14045,6548,52324,791
14055,6544,52307,804
14065,6541,52281,802
14075,6536,52254,797
14085,6531,52225,800
14095,6524,52194,794
14105,6520,52168,805
14115,6514,52139,801
14125,6509,52122,799
14135,6505,52102,802
14145,6499,52070,802
14155,6494,52038,810
14165,6484,51996,797
14175,6480,51966,799
14185,6473,51945,795
14195,6470,51929,805
14205,6465,51894,806
14215,6459,51855,798
14225,6452,51816,787
14235,6446,51792,807
14245,6441,51755,796
14255,6435,51725,800
14265,6428,51692,794
14275,6424,51661,802
14285,6416,51618,799
14295,6407,51564,790
14305,6402,51529,800
14315,6396,51497,802
14325,6389,51453,809
14335,6381,51393,801
14345,6372,51345,801
14355,6365,51309,797
14365,6359,51268,808
14375,6352,51212,797
14385,6343,51158,800
14395,6336,51109,795
14405,6329,51060,796
14415,6320,51003,799
14425,6311,50949,800
14435,6305,50906,806
14445,6298,50852,800
14455,6291,50798,793
14465,6284,50753,805
14475,6277,50700,807
14485,6269,50628,802
14495,6260,50565,805
14505,6253,50521,807
14515,6246,50473,804
14525,6239,50419,795
14535,6233,50372,802
14545,6228,50330,801
14555,6220,50273,804
14565,6214,50199,791
14575,6205,50140,798
14585,6200,50083,799
14595,6192,50027,790
14605,6187,49981,805
14615,6181,49927,804
14625,6172,49853,802
14635,6162,49773,795
14645,6154,49700,805
14655,6146,49626,796
14665,6138,49566,796
14675,6132,49508,800
14685,6124,49441,798
14695,6117,49370,800
14705,6108,49295,797
14715,6100,49218,794
14725,6093,49154,796
14735,6087,49088,797
14745,6079,49020,798
14755,6072,48968,796
14765,6070,48923,807
14775,6062,48856,800
14785,6054,48780,797
14795,6048,48721,806
14805,6041,48661,800
14815,6036,48608,794
14825,6031,48565,797
14835,6026,48522,809
14845,6021,48462,798
14855,6013,48401,800
14865,6008,48340,795
14875,6001,48277,798
14885,5994,48208,796
14895,5990,48156,798
14905,5984,48119,805
14915,5980,48064,801
14925,5972,48001,798
14935,5967,47950,797
14945,5962,47887,798
14955,5955,47820,796
14965,5949,47765,799
14975,5944,47718,804
14985,5939,47670,799
14995,5933,47617,795
15005,5928,47573,799
15015,5923,47530,803
15025,5917,47467,804
15035,5911,47391,794
15045,5905,47337,805
15055,5899,47285,798
15065,5893,47235,793
15075,5890,47199,804
15085,5884,47158,802
15095,5878,47102,796
15105,5873,47037,793
15115,5865,46977,798
15125,5861,46926,800
15135,5853,46873,801
15145,5850,46825,797
15155,5846,46784,796
15165,5842,46745,807
15175,5838,46689,801
15185,5832,46637,795
15195,5828,46605,794
15205,5826,46584,804
15215,5823,46544,811
15225,5819,46478,796
15235,5813,46431,801
15245,5810,46402,794
15255,5808,46389,806
15265,5804,46356,804
15275,5801,46301,798
15285,5795,46245,791
15295,5793,46210,791
15305,5790,46197,795
15315,5789,46176,806
15325,5783,46120,804
15335,5778,46042,791
15345,5772,45986,796
15355,5767,45940,799
15365,5764,45895,809
15375,5760,45857,796
15385,5757,45818,801
15395,5753,45774,807
15405,5748,45708,796
15415,5742,45634,799
15425,5736,45562,800
15435,5728,45492,800
15445,5724,45430,799
15455,5719,45380,801
15465,5715,45318,800
15475,5709,45249,800
15485,5703,45181,806
15495,5695,45090,802
15505,5687,44998,802
15515,5681,44923,797
15525,5676,44868,798
15535,5672,44828,799
15545,5669,44779,806
15555,5662,44696,803
15565,5653,44590,796
15575,5645,44482,792
15585,5638,44411,798
15595,5633,44358,800
15605,5629,44300,797
15615,5622,44224,799
15625,5614,44132,799
15635,5607,44037,797
15645,5600,43958,802
15655,5594,43886,793
15665,5588,43820,802
15675,5581,43731,795
15685,5573,43650,802
15695,5566,43562,804
15705,5559,43484,795
15715,5555,43428,808
15725,5550,43354,801
15735,5541,43266,800
15745,5534,43169,794
15755,5525,43082,796
15765,5518,43012,797
15775,5514,42954,806
15785,5509,42888,806
15795,5501,42800,801
15805,5493,42707,800
15815,5487,42630,798
15825,5481,42573,797
15835,5477,42534,798
15845,5472,42473,802
15855,5464,42383,799
15865,5455,42285,793
15875,5446,42207,795
15885,5442,42160,798
15895,5439,42136,800
15905,5435,42091,805
15915,5428,42007,805
15925,5419,41914,799
15935,5412,41823,790
15945,5406,41758,802
15955,5402,41704,798
15965,5395,41638,800
15975,5388,41556,799
15985,5380,41465,797
15995,5372,41378,795
16005,5366,41313,805
16015,5362,41244,805
16025,5354,41175,802
16035,5348,41094,802
16045,5341,40990,795
16055,5331,40884,798
16065,5324,40789,796
16075,5318,40730,800
16085,5314,40672,801
16095,5307,40592,798
16105,5301,40510,803
16115,5292,40413,796
16125,5286,40331,799
16135,5279,40262,800
16145,5274,40196,804
16155,5269,40122,799
