state_time,ank_ang,mot_ang,mot_cur
8812,8005,46439,998
8822,8005,46435,919
8832,8006,46431,789
8842,8004,46432,803
8852,8003,46431,798
8862,8005,46433,796
8872,8005,46431,803
8882,8004,46431,800
8892,8005,46431,800
8902,8005,46431,796
8912,8005,46432,800
8922,8005,46431,799
8932,8004,46432,800
8942,8004,46432,802
8952,8006,46430,803
8962,8005,46432,801
8972,8007,46431,798
8982,8005,46432,800
8992,8005,46432,800
9002,8004,46431,800
9012,8005,46431,803
9022,8004,46432,796
9032,8005,46434,804
9042,8005,46432,799
9052,8005,46433,799
9062,8005,46432,799
9072,8005,46433,800
9082,8005,46432,802
9092,8004,46432,804
9102,8005,46433,802
9112,8004,46434,798
9122,8005,46432,801
9132,8007,46433,802
9142,8007,46432,803
9152,8005,46433,802
9162,8005,46433,795
9172,8006,46433,801
9182,8004,46434,799
9192,8004,46434,803
9202,8004,46436,802
9212,8005,46436,802
9222,8005,46439,799
9232,8003,46443,800
9242,8005,46453,796
9252,8003,46478,792
9262,7999,46500,814
9272,7997,46510,804
9282,7996,46523,792
9292,7996,46551,797
9302,7991,46582,796
9312,7987,46642,777
9322,7980,46723,811
9332,7974,46791,812
9342,7969,46869,788
9352,7960,46935,814
9362,7956,47002,781
9372,7948,47079,797
9382,7940,47170,784
9392,7931,47276,774
9402,7920,47391,798
9412,7909,47515,808
9422,7900,47637,804
9432,7888,47752,825
9442,7878,47852,805
9452,7869,47950,797
9462,7858,48064,765
9472,7844,48198,787
9482,7832,48337,797
9492,7820,48476,785
9502,7808,48613,799
9512,7793,48732,807
9522,7782,48833,787
9532,7774,48940,817
9542,7762,49057,793
9552,7751,49159,806
9562,7742,49259,789
9572,7732,49352,821
9582,7720,49438,790
9592,7713,49525,808
9602,7704,49603,798
9612,7695,49689,803
9622,7687,49764,810
9632,7679,49841,805
9642,7671,49917,795
9652,7663,49984,807
9662,7653,50065,784
9672,7645,50131,813
9682,7639,50183,777
9692,7630,50248,803
9702,7623,50308,793
9712,7615,50388,780
9722,7604,50484,804
9732,7594,50564,797
9742,7582,50642,805
9752,7572,50710,808
9762,7565,50768,785
9772,7555,50851,796
9782,7543,50925,807
9792,7531,51005,803
9802,7520,51083,792
9812,7509,51162,803
9822,7497,51244,804
9832,7484,51321,796
9842,7470,51399,802
9852,7460,51458,790
9862,7451,51511,793
9872,7442,51581,785
9882,7429,51640,802
9892,7422,51712,769
9902,7413,51796,832
9912,7403,51856,809
9922,7395,51912,794
9932,7388,51965,789
9942,7380,52007,807
9952,7370,52051,800
9962,7361,52115,792
9972,7350,52185,827
9982,7338,52232,798
9992,7329,52290,796
10002,7318,52345,801
10012,7307,52376,796
10022,7297,52430,792
10032,7286,52488,810
10042,7274,52537,799
10052,7264,52582,787
10062,7252,52625,820
10072,7241,52669,790
10082,7229,52713,793
10092,7218,52749,822
10102,7206,52778,794
10112,7195,52820,805
10122,7183,52866,791
10132,7169,52910,809
10142,7157,52932,811
10152,7146,52948,791
10162,7134,52994,778
10172,7122,53049,809
10182,7108,53073,811
10192,7093,53097,779
10202,7081,53129,823
