state_time,ank_ang,mot_ang,mot_cur
5289,7867,48053,1002
5299,7869,48053,1002
5309,7869,48047,791
5319,7866,48049,804
5329,7867,48050,803
5339,7867,48050,800
5349,7868,48051,801
5359,7867,48051,800
5369,7866,48052,802
5379,7867,48053,801
5389,7867,48053,799
5399,7867,48055,800
5409,7865,48060,796
5419,7865,48070,802
5429,7863,48092,799
5439,7861,48123,813
5449,7858,48148,799
5459,7853,48192,796
5469,7849,48227,800
5479,7846,48260,820
5489,7844,48263,804
5499,7844,48265,799
5509,7842,48274,793
5519,7842,48292,796
5529,7837,48328,801
5539,7835,48359,796
5549,7832,48394,811
5559,7831,48401,797
5569,7829,48403,801
5579,7829,48404,800
5589,7830,48414,797
5599,7827,48440,785
5609,7823,48464,809
5619,7821,48480,795
5629,7820,48510,795
5639,7817,48531,805
5649,7817,48549,790
5659,7812,48593,791
5669,7807,48638,799
5679,7804,48677,807
5689,7801,48710,778
5699,7796,48752,809
5709,7791,48810,787
5719,7784,48877,810
5729,7779,48937,799
5739,7772,49012,790
5749,7765,49078,816
5759,7760,49119,782
5769,7754,49165,806
5779,7750,49214,793
5789,7744,49271,780
5799,7739,49331,801
5809,7733,49382,782
5819,7726,49454,803
5829,7720,49512,796
5839,7715,49561,802
5849,7708,49625,794
5859,7701,49684,816
5869,7694,49731,801
5879,7690,49788,789
5889,7684,49845,801
5899,7677,49898,799
5909,7672,49955,799
5919,7664,50010,798
5929,7660,50068,792
5939,7652,50110,804
5949,7646,50150,799
5959,7641,50202,782
5969,7634,50267,814
5979,7627,50310,772
5989,7621,50377,787
5999,7612,50453,812
6009,7604,50502,806
6019,7599,50542,799
6029,7594,50591,815
6039,7587,50640,797
6049,7581,50678,794
6059,7575,50723,811
6069,7569,50774,786
6079,7562,50837,800
6089,7556,50884,806
6099,7549,50918,803
6109,7543,50961,794
6119,7536,50996,798
6129,7534,51026,809
6139,7528,51042,795
6149,7525,51077,779
6159,7519,51124,802
6169,7511,51169,811
6179,7506,51213,801
6189,7501,51249,816
6199,7495,51274,809
6209,7493,51290,797
6219,7488,51326,783
6229,7482,51368,816
6239,7475,51405,811
6249,7471,51418,803
6259,7467,51445,781
6269,7461,51479,812
6279,7456,51518,785
6289,7448,51573,786
6299,7441,51609,818
6309,7435,51635,789
6319,7430,51670,800
6329,7425,51720,794
6339,7421,51763,807
6349,7415,51790,801
6359,7413,51825,777
6369,7406,51864,815
6379,7401,51902,803
6389,7395,51936,788
6399,7390,51980,820
6409,7385,52006,800
6419,7378,52035,807
6429,7374,52062,787
6439,7367,52118,810
6449,7359,52166,820
6459,7352,52176,800
6469,7348,52206,774
6479,7342,52246,815
6489,7336,52283,798
6499,7329,52315,796
6509,7321,52354,809
6519,7313,52372,796
6529,7309,52404,791
6539,7301,52436,797
6549,7295,52472,792
6559,7288,52501,800
6569,7280,52538,800
6579,7274,52564,803
6589,7266,52598,785
6599,7258,52623,809
6609,7252,52652,793
6619,7245,52683,810
6629,7237,52708,788
6639,7231,52736,826
6649,7226,52740,799
6659,7220,52756,789
6669,7215,52787,806
6679,7208,52801,809
6689,7201,52816,795
6699,7194,52855,780
6709,7186,52882,824
6719,7181,52897,792
6729,7172,52923,811
6739,7168,52924,796
6749,7162,52936,796
6759,7156,52956,795
6769,7148,52991,792
6779,7140,53012,814
6789,7132,53033,796
6799,7126,53060,819
6809,7118,53063,795
6819,7112,53079,792
6829,7105,53105,788
6839,7098,53115,807
6849,7090,53122,792
6859,7082,53136,805
6869,7076,53146,797
6879,7068,53168,793
6889,7059,53182,799
6899,7051,53186,799
6909,7042,53198,799
6919,7033,53211,799
6929,7024,53232,791
6939,7015,53244,807
6949,7005,53247,798
6959,6995,53255,800
6969,6986,53259,799
6979,6975,53265,798
6989,6964,53272,798
6999,6953,53277,797
7009,6942,53283,799
7019,6930,53284,802
7029,6919,53285,797
7039,6907,53284,797
7049,6897,53282,802
7059,6886,53279,805
7069,6876,53275,801
7079,6864,53267,799
7089,6853,53258,795
7099,6841,53249,798
7109,6830,53238,800
7119,6821,53227,801
7129,6810,53210,801
7139,6799,53189,796
7149,6788,53174,800
7159,6779,53156,797
7169,6770,53131,797
7179,6758,53111,792
7189,6750,53094,806
7199,6741,53072,802
7209,6732,53047,799
7219,6723,53026,799
7229,6714,52998,796
7239,6705,52974,796
7249,6699,52948,806
7259,6689,52915,795
7269,6682,52896,802
7279,6676,52873,806
7289,6669,52849,799
7299,6663,52826,799
7309,6656,52793,801
7319,6648,52768,797
7329,6641,52739,801
7339,6636,52718,795
7349,6630,52699,802
7359,6625,52676,805
7369,6618,52648,801
7379,6613,52620,806
7389,6605,52590,791
7399,6601,52574,805
7409,6597,52554,807
7419,6591,52528,801
7429,6586,52504,798
7439,6581,52476,800
7449,6575,52453,798
7459,6571,52437,805
7469,6566,52411,800
7479,6561,52382,793
7489,6554,52354,800
7499,6549,52325,791
7509,6545,52308,804
7519,6540,52283,802
7529,6534,52253,794
7539,6528,52223,802
7549,6521,52189,794
7559,6516,52157,799
7569,6510,52129,793
7579,6505,52113,810
7589,6500,52083,800
7599,6494,52048,804
7609,6484,52000,795
7619,6476,51961,796
7629,6472,51942,797
7639,6469,51926,806
7649,6464,51894,806
7659,6457,51852,798
7669,6448,51810,792
7679,6442,51773,800
7689,6436,51740,787
7699,6430,51711,801
7709,6425,51680,799
7719,6418,51639,805
7729,6409,51581,800
7739,6401,51533,799
7749,6393,51493,798
7759,6387,51445,802
7769,6378,51384,801
7779,6370,51334,811
7789,6362,51293,799
7799,6355,51242,798
7809,6345,51183,796
7819,6337,51121,801
7829,6327,51055,796
7839,6316,50984,792
7849,6306,50923,795
7859,6300,50863,795
7869,6290,50800,792
7879,6282,50742,795
7889,6273,50665,800
7899,6261,50577,798
7909,6251,50493,799
7919,6240,50418,799
7929,6232,50360,798
7939,6225,50301,802
7949,6216,50216,802
7959,6203,50121,801
7969,6193,50035,792
