state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
2963,2034,-7944,-44,-46,57,-232,10282,1,3,1,0,37342,307,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3245,0,1071,0
2973,2226,-7940,-96,-10,79,-237,10283,0,3,1,0,37338,305,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,3242,0,2963,0
2983,2364,-7994,-70,27,91,-229,10282,0,-3,0,0,37345,296,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3239,0,2963,0
2993,2564,-7950,2,78,90,-179,10282,1,-1,1,0,37347,305,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3237,0,2963,0
3003,2570,-8004,70,104,85,-138,10283,1,3,0,0,37352,308,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,3235,0,2963,0
3013,2552,-7974,306,130,92,-86,10282,-1,0,0,0,37359,302,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3234,0,2963,0
3023,2434,-7982,410,147,89,-72,10281,-4,-5,1,0,37369,302,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,3233,0,2963,0
3033,2408,-7962,500,138,97,-67,10282,2,1,2,0,37366,305,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3232,0,2963,0
3043,2328,-7964,592,128,100,-52,10283,2,-2,0,0,37352,301,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3231,0,2963,0
3053,2350,-7912,648,83,89,-53,10282,0,-1,0,0,37338,300,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3228,0,2963,0
3063,2318,-7994,656,73,72,-53,10282,0,0,1,0,37339,292,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3228,0,2963,0
3073,2296,-7942,564,45,62,-43,10282,-1,3,1,0,37342,295,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3228,0,2963,0
3083,2308,-7948,514,36,66,-45,10282,0,1,1,0,37341,303,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3227,0,2964,0
3093,2350,-7956,434,18,81,-33,10282,-3,-2,-1,0,37341,311,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3226,0,2974,0
3103,2378,-7928,422,12,77,-14,10283,0,-1,0,0,37341,311,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3226,0,2984,0
3113,2402,-7912,426,5,71,8,10284,2,2,0,0,37341,295,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3226,0,2994,0
3123,2398,-7940,474,1,66,14,10282,-2,-4,0,0,37338,302,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3225,0,3004,0
